电影/电视剧/番组,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"局外人 / L'Étranger","2","2026/04/11","黑白影调或许有其特色，但对于局外人来说，却难以展现出原著中灼人的阳光；观影时我一直在灰色的天和海里试图幻想出一点蓝色，因为总觉得那才是我阅读时的印象，而（应该过曝的）鲜明的颜色也本应和Meursault内心形成一种反衬。整体来说是相当平庸的改编，太过平铺直叙，偶尔摘录原句点缀一下，空洞而平淡的无意义感胜过压抑的焦虑感，完全无法达到原著的深度与情感张力。","2025/09/02","威尼斯电影节","https://movie.douban.com/subject/37284351/"
"我自己的爱达荷 / My Own Private Idaho","5","2026/04/04","","","","https://movie.douban.com/subject/1292792/"
"总统的蛋糕 / مملكة القصب","4","2026/02/18","荒诞、讽刺与温情交织，多打一分给自由表达的勇气。","2025/05/16","戛纳电影节","https://movie.douban.com/subject/36486147/"
"普通事故 / یک تصادف ساده","5","2026/02/18","补标，开年第一部，和z一起看于ICA。帕纳西以公路片的形式展开一部荒诞而讽刺、尴尬却尖锐、残酷但依旧黑色幽默的一次复仇大戏。调度和叙事都工稳漂亮，主题则是贯穿始终的道德拷问：被暴力机器碾压而过的个人出走后怎样。崩坏的社会里，愤怒的善良的人连复仇都注定无力。车灯一打，才觉出每个人都命如草芥，或如车轮下那个小生灵。","2025/05/20","戛纳电影节","https://movie.douban.com/subject/37247238/"
"神烦警探 第八季 / Brooklyn Nine-Nine Season 8","5","2026/02/06","so long, 99","2021/08/12","美国","https://movie.douban.com/subject/34889374/"
"神烦警探 第六季 / Brooklyn Nine-Nine Season 6","5","2026/02/03","","2019/01/10","美国","https://movie.douban.com/subject/30222864/"
"电影史话 / The Story of Film: An Odyssey","5","2026/02/03","","2011/09/03","英国","https://movie.douban.com/subject/6793337/"
"神烦警探 第七季 / Brooklyn Nine-Nine Season 7","5","2026/02/02","","2020/02/06","美国","https://movie.douban.com/subject/30475705/"
"神烦警探 第五季 / Brooklyn Nine-Nine Season 5","5","2026/01/31","","2017/09/26","美国","https://movie.douban.com/subject/27042749/"
"神烦警探 第四季 / Brooklyn Nine-Nine Season 4","","2026/01/28","","2016/09/20","美国","https://movie.douban.com/subject/26757856/"
"逃走 / 逃走、貫徹！","","2026/01/23","隐匿、逃离、抗争，理念纯粹但自我无限挣扎。很特别也很有意思的电影。@ ICA","2025/03/15","日本","https://movie.douban.com/subject/36948644/"
"神烦警探 第三季 / Brooklyn Nine-Nine Season 3","","2026/01/23","","2015/09/27","美国","https://movie.douban.com/subject/26306794/"
"神烦警探 第二季 / Brooklyn Nine-Nine Season 2","","2026/01/19","","2014/09/28","美国","https://movie.douban.com/subject/25843290/"
"神烦警探 第一季 / Brooklyn Nine-Nine Season 1","4","2026/01/15","","2013/09/17","美国","https://movie.douban.com/subject/24532463/"
"怪奇物语 第三季 / Stranger Things Season 3","3","2026/01/08","节奏突然放慢，已经总结出全剧主打分头行动信息差+精美转场+可预测jump scare，和z一起同之前一样又急又略无语地看完。(1 有用)","2019/07/04","美国","https://movie.douban.com/subject/27119156/"
"怪奇物语 第二季 / Stranger Things Season 2","","2026/01/04","关掉灯两人缩在被子里看完(1 有用)","2017/10/27","美国","https://movie.douban.com/subject/26844438/"
"狼行者 / Wolfwalkers","4","2025/12/28","喜欢美术和音乐","2020/09/12","多伦多电影节","https://movie.douban.com/subject/26694926/"
"查理·布朗，圣诞节又到了 / It's Christmastime Again, Charlie B...","5","2025/12/28","","","","https://movie.douban.com/subject/4091371/"
"昨日青春 / Happyend","3","2025/12/26","补标，对于一部电影来说议题塞得有些太满，但又是再真实不过的复杂的青春。@ ICA","2024/09/02","威尼斯电影节","https://movie.douban.com/subject/36960439/"
"死亡诗社 / Dead Poets Society","4","2025/12/26","如果是几年前看，是我大概会打五星的电影(1 有用)","1989/06/02","多伦多首映","https://movie.douban.com/subject/1291548/"
"疯狂动物城2 / Zootopia 2","3","2025/12/17","合格续作，可是再也没有第一部的那种惊喜感。情节经典到看到中途就可以猜完结尾的地步，但对迪士尼合家欢电影本来也没有更额外的期待。不过我还是挺喜欢里面的诸多关于不同动物习性小巧思小细节和各种致敬！ @ vue","2025/11/26","美国/中国大陆","https://movie.douban.com/subject/26817136/"
"野棕榈 / The Wild Palms","3","2025/11/26","World premiere @ ICA","2025/11/25","英国","https://movie.douban.com/subject/37806615/"
"摩登家庭 第十一季 / Modern Family Season 11","","2025/11/12","","2019/09/25","美国","https://movie.douban.com/subject/30454227/"
"摩登家庭 第四季 / Modern Family Season 4","","2025/11/12","","2012/09/26","美国","https://movie.douban.com/subject/10748074/"
"摩登家庭 第十季 / Modern Family Season 10","","2025/11/12","","2018/09/26","美国","https://movie.douban.com/subject/27041245/"
"这是南瓜大王哦！ 查理·布朗！ / It's the Great Pumpkin, Charli...","5","2025/11/01","","","","https://movie.douban.com/subject/2255554/"
"发展受阻 第二季 / Arrested Development Season 2","","2025/10/27","","2004/11/07","美国","https://movie.douban.com/subject/4995723/"
"发展受阻 第三季 / Arrested Development Season 3","","2025/10/27","此剧已经莫名其妙沉迷骨科无法自拔(2 有用)","","","https://movie.douban.com/subject/5414629/"
"传奇字体 / Helvetica","4","2025/10/27","There's a very thin line between simple and clean and powerful, and simple and clean and boring.","","","https://movie.douban.com/subject/1937190/"
"发展受阻 第一季 / Arrested Development Season 1","4","2025/10/19","","","","https://movie.douban.com/subject/1472988/"
"新浪潮 / Nouvelle Vague","3","2025/10/19","写给新浪潮电影的又又又一封情书，报菜名影迷大概会喜欢。电影内容的有趣主要来自熟悉的影史人物和电影，伪记录导演电影的过程本应具备解构性，却仅仅止步于各种意义上的迷恋，因此除了选角神似、形式复古和顺利讲完故事以外并无任何可说之处。不禁觉得影片结尾《精疲力尽》的成功只是再次反衬本作全方位的平庸。#LFF","2025/05/17","戛纳国际电影节","https://movie.douban.com/subject/36742578/"
"朝圣 / Romería","4","2025/10/11","无限着迷于电影中的空镜：细碎的光线和Galicia美丽的海。摄影，游泳，聚餐，跳舞，私人叙事和复杂的家庭关系探索。不同时空在日记与影像之间穿梭、交织，讲述被藏起来的父辈的故事。我喜欢长久地注视海。 #LFF","2025/05/21","戛纳电影节","https://movie.douban.com/subject/36575268/"
"我的城市 / Saute ma ville","","2025/10/11","炸掉我的城市","","","https://movie.douban.com/subject/3565920/"
"街头顽童 / Urchin","4","2025/10/09","在伦敦看的第一部电影，屏幕亮起满眼还是熟悉的街道和建筑，于是格外有沉浸感（打架场景甚至是在UCL East门口，感觉是故意设置了这个对比）。顽童般的、蜷缩成婴儿的、怀着天性里带来的一点真和一点恶的人与现实和自身的浊流对抗，以期寻找某种救赎。茫然地幽默，沉重地轻盈，成瘾性物质反而无关超现实。在伦敦，印象最深刻的陌生人恰好正是传教者和流浪汉。@ICA","2025/05/17","戛纳电影节","https://movie.douban.com/subject/36879454/"
"黄色潜水艇 / Yellow Submarine","","2025/09/24","在飞机上看完","1968/07/17","英国","https://movie.douban.com/subject/1305605/"
"史努比特辑：夏日音乐剧 / Snoopy Presents: A Summer Musical","5","2025/09/02","But we’re gonna leave it, better than we found it :)","2025/08/15","美国网络","https://movie.douban.com/subject/37364854/"
"查理布朗的圣诞节 / A Charlie Brown Christmas","5","2025/07/30","","","","https://movie.douban.com/subject/1439773/"
"瑞克和莫蒂 第八季 / Rick and Morty Season 8","5","2025/07/22","更温情的一季：荒凉的自由，温馨的不自由。Don't look back.","2025/05/25","美国","https://movie.douban.com/subject/36508122/"
"剑指高分 / High Score","5","2025/07/14","非常好的电子游戏发展史纪录片，大佬云集且节奏特别好，喜欢片头片尾和中间的像素小动画，以及感动于从业者对游戏的热爱和一次次创新的勇气。可惜内容只包括比较早期的发展史，希望以后可以接着制作续集！","2020/08/19","美国","https://movie.douban.com/subject/35162178/"
"奶奶的现代社会指南 / A Granny’s Guide to the Modern World","4","2025/06/30","太可爱了，边看边笑","2016/08/03","英国","https://movie.douban.com/subject/30223655/"
"本杰明·巴顿奇事 / The Curious Case of Benjamin Button","3","2025/06/26","","2008/12/25","美国","https://movie.douban.com/subject/1485260/"
"毕业生 / The Graduate","4","2025/06/25","","1967/12/22","美国","https://movie.douban.com/subject/1292271/"
"龙猫 / となりのトトロ","5","2025/06/19","","1988/04/16","日本","https://movie.douban.com/subject/1291560/"
"爱你的症状如爱你 / Liebe dein Symptom wie dich selbst","","2025/05/29","","","","https://movie.douban.com/subject/36117332/"
"烈火情人 / Damage","3","2025/05/27","","","","https://movie.douban.com/subject/1300605/"
"绿洲乐队1996年在内布沃斯 / Oasis Knebworth 1996","","2025/05/27","","2021/09/23","英国","https://movie.douban.com/subject/35560160/"
"歌手2025","1","2025/05/27","。。。太烂，已弃(7 有用)","2025/05/16","中国大陆","https://movie.douban.com/subject/37110424/"
"黑镜 第七季 / Black Mirror Season 7","4","2025/05/27","","2025/04/10","美国","https://movie.douban.com/subject/36653963/"
"一夜狂欢 / A Hard Day's Night","5","2025/05/26","看得我一直情不自禁地笑，一个一切都好像要无限美好下去的时期。中间突然发现演出结束谢幕鞠躬的场景几十年后也被用在了Now And Then的MV结尾，而我终于知道在那句It’s all because of you的旋律之后他们其实只是从舞台上跑开，坐上乱撒海报的直升飞机飞走了。","","","https://movie.douban.com/subject/1298566/"
"圣女贞德蒙难记 / La Passion de Jeanne d'Arc","5","2025/05/25","","1928/04/21","丹麦","https://movie.douban.com/subject/1293783/"
"爱，死亡和机器人 第四季 / Love, Death & Robots Season 4","1","2025/05/20","太烂了","2025/05/15","美国","https://movie.douban.com/subject/36056894/"
"幽灵公主 / もののけ姫","5","2025/05/14","","1997/07/12","日本","https://movie.douban.com/subject/1297359/"
"从海洋到大陆 / From the Sea to the Land Beyond","5","2025/05/12","海洋，时间在这里汹涌地流逝。(1 有用)","","","https://movie.douban.com/subject/22227667/"
"一条安达鲁狗 / Un chien andalou","","2025/04/23","","1929/06/06","法国","https://movie.douban.com/subject/1298962/"
"黑镜 第一季 / Black Mirror Season 1","5","2025/04/23","","2011/12/04","英国","https://movie.douban.com/subject/7054120/"
"IT狂人说明书 / The IT Crowd Manual","5","2025/04/22","我真的好爱","","","https://movie.douban.com/subject/25800237/"
"汉密尔顿 / Hamilton","","2025/04/20","","2020/07/03","美国网络","https://movie.douban.com/subject/34961898/"
"我和我的莫顿自行车 / Me and My Moulton","4","2025/04/19","","2014/12/03","挪威","https://movie.douban.com/subject/25985574/"
"雇佣人生 / El Empleo","","2025/04/19","","2008/09/04","阿根廷","https://movie.douban.com/subject/3823425/"
"蓝雨伞之恋 / The Blue Umbrella","","2025/04/19","好10s啊","2013/02/12","柏林国际电影节","https://movie.douban.com/subject/20505641/"
"9号秘事 第一季 / Inside No. 9 Season 1","4","2025/04/18","","2014/02/05","英国","https://movie.douban.com/subject/20452350/"
"小蝌蚪找妈妈","5","2025/04/14","","","","https://movie.douban.com/subject/3335371/"
"此心安处 / Here","3","2025/04/11","创意形式，老派故事。","2024/10/25","AFI影展","https://movie.douban.com/subject/35782224/"
"我的世界大电影 / A Minecraft Movie","","2025/04/06","其实是挺烂的爆米花电影，但十多年MC老粉还是在熟悉的背景音响起的那一刻原谅了所有。","2025/04/04","美国/中国大陆","https://movie.douban.com/subject/26149750/"
"倩女幽魂","","2025/03/31","看了重映@金逸影院（济南印象）","1987/07/18","中国香港","https://movie.douban.com/subject/1297447/"
"还有明天 / C'è ancora domani","5","2025/03/22","","2023/10/18","罗马电影节","https://movie.douban.com/subject/36445098/"
"人生切割术 第二季 / Severance Season 2","5","2025/03/21","10/10 but what the actual fuck did I just watch(1 有用)","2025/01/17","美国","https://movie.douban.com/subject/35783948/"
"唐探1900","1","2025/03/15","想到会很烂没想到这么烂(1 有用)","2025/01/29","中国大陆","https://movie.douban.com/subject/36282639/"
"十的次方 / Powers of Ten","","2025/03/04","","","","https://movie.douban.com/subject/1826231/"
"和爱丽丝的一小时 / Une heure avec Alice","4","2025/03/04","","","","https://movie.douban.com/subject/33461070/"
"风起时 / Windup","2","2025/03/04","很一般","","","https://movie.douban.com/subject/35334818/"
"西葫芦的生活 / Ma vie de courgette","4","2025/03/04","","2016/05/15","戛纳电影节","https://movie.douban.com/subject/24860289/"
"我和吸铁石和一个死去的朋友","","2025/03/04","莫名有种把自己的生活景观化给人看的感觉，很怪。","2019/06/10","法国昂西动画节","https://movie.douban.com/subject/33387267/"
"奇趣美术馆 第一季 / A Musée vous, à musée moi Season 1","5","2025/03/04","笑得","2018/01/08","法国","https://movie.douban.com/subject/33477109/"
"初步举证 / National Theatre Live: Prima Facie","5","2025/03/03","要反抗，不要流泪，不要流泪。","2022/07/21","英国点映","https://movie.douban.com/subject/35861791/"
"花样年华2001 / 花樣年華2001","","2025/02/23","","2001/05/16","戛纳电影节","https://movie.douban.com/subject/37238667/"
"三峡好人","4","2025/02/22","","2006/09/06","威尼斯电影节","https://movie.douban.com/subject/1872133/"
"阿飞正传 / 阿飛正傳","5","2025/02/22","没有来处也没有归宿，无脚鸟在出生时就死去，只是落地前还望着颠簸漫长的潮湿迷离的雨林。","1990/12/15","中国香港","https://movie.douban.com/subject/1305690/"
"游墓","4","2025/02/16","","2023/10/12","台灣國際女性影展","https://movie.douban.com/subject/36534087/"
"花样年华 / 花樣年華","5","2025/02/15","""Quizás, quizás, quizás""","2000/05/20","戛纳电影节","https://movie.douban.com/subject/1291557/"
"披头士乐队：回归 / The Beatles: Get Back","5","2025/02/14","Get back, get back","2021/11/25","美国网络","https://movie.douban.com/subject/30466797/"
"哪吒之魔童闹海","1","2025/02/14","从剔骨还父到父慈子孝大打亲情煽情牌，从反抗到为了反抗而反抗，这部电影到底和哪吒有什么关系？其余各种也是槽多无口，一言不合就是摁打，不仅逻辑幼稚而且纯粹为了场面而场面、为了金句而金句、为了搞笑而搞笑，更不用说莫名其妙的卖腐和厌女了，有够恶俗。懒得骂了，做错什么了要被迫吃两个小时这种精美大便——更何况我也根本对这些画面场景特效不感兴趣。(4 有用)","2025/01/29","中国大陆","https://movie.douban.com/subject/34780991/"
"摩登家庭 第九季 / Modern Family Season 9","","2025/02/13","","2017/09/27","美国","https://movie.douban.com/subject/27041242/"
"小妈妈 / Petite maman","5","2025/01/23","过去与未来模糊在森林小径之间，跨越时空溯洄而上相识的是妈妈和姥姥，握住的是母系的连结。告别，然后她将在离开的时刻再次存在。沉静、隽永，每一个细节我都太喜欢。","2021/03/03","柏林电影节","https://movie.douban.com/subject/35225859/"
"在她们眼中 / Le Pupille","4","2025/01/19","","2022/05/27","戛纳电影节","https://movie.douban.com/subject/35901245/"
"未来之调 / Tune into the Future","","2025/01/19","","2020/03/08","卢森堡","https://movie.douban.com/subject/37204594/"
"猫猫的奇幻漂流 / Straume","4","2025/01/14","少年派+stray版诺亚方舟，喜欢小黑猫喜欢欢乐小狗喜欢卡皮巴拉（思考了半天狗会不会爱上吃水豚💩）！","2024/05/22","戛纳电影节","https://movie.douban.com/subject/35603727/"
"爱乐之城 / La La Land","3","2025/01/14","","2016/08/31","威尼斯电影节","https://movie.douban.com/subject/25934014/"
"闪灵 / The Shining","4","2025/01/14","毛骨悚然的经典款，尽享原汁原味恐怖体验","1980/05/23","美国点映","https://movie.douban.com/subject/1292225/"
"时时刻刻 / The Hours","5","2024/12/30","","2002/12/27","美国","https://movie.douban.com/subject/1305666/"
"罗拉快跑 / Lola rennt","5","2024/12/28","","1998/08/20","德国","https://movie.douban.com/subject/1292275/"
"穿普拉达的女王 / The Devil Wears Prada","2","2024/11/30","","2006/06/30","美国","https://movie.douban.com/subject/1482072/"
"好东西","5","2024/11/23","好久没有这样愉快地看电影，看聪颖有灵气的、勇敢正直的女主演们的自然友谊与日常生活。台词真好，配乐真好，女人真好。我喜欢这部电影的有话直说，妈妈什么都知道，小孩什么都知道，她们轻盈又锋利地把那些埋在生活里的刺点出来，拿起笔写属于自己的叙事，拒绝再去玩他们的游戏。此外最爱的部分是小孩听录音和妈妈做家务的跳切，是打雷是龙卷风是童稚的幻想，是炒菜下锅是抖衣服是细碎的日常生活，就这样被声音串联在一起，简直神来之笔。

但不仅如此，更重要的是电影敏锐地描述了一种当下的生活、直面了当前的问题。如果有人觉得这样算尖锐，那么你大概没有经历过同样的挣扎和痛苦；如果有观点就算说教，so be it，因为就是要表达、就是要让更多人看见。而对于整部电影——“如果能让你开心，那就是好东西”。","2024/11/13","金鸡国产电影展","https://movie.douban.com/subject/36154853/"
"办公室  第六季 / The Office Season 6","3","2024/11/19","看到婚礼那一集觉得又无语又好笑又有点感动的心情到了极点，但也决定弃剧了，其中一个原因是Micheal的人设已经有点恶心到了我无法觉得好笑的地步。","2009/09/17","美国","https://movie.douban.com/subject/4040275/"
"办公室  第五季 / The Office Season 5","5","2024/11/18","","2008/09/25","美国","https://movie.douban.com/subject/3100868/"
"办公室 第四季 / The Office Season 4","5","2024/11/01","已爱上","2007/09/27","美国","https://movie.douban.com/subject/2171019/"
"办公室   第三季 / The Office Season 3","4","2024/10/27","其他都不错，但感觉Jim&Pam线写得有点太俗套，Jan的走向我也很不喜欢。","2006/09/21","美国","https://movie.douban.com/subject/2163588/"
"办公室   第二季 / The Office Season 2","5","2024/10/23","怎么做到又讽刺到令人恶心的地步又这么好笑！以及爱看爱嗑Jim&Pam，其他几对也creepy得很别致。","2005/09/20","美国","https://movie.douban.com/subject/2159568/"
"生命的意义 / The Meaning of Life","4","2024/10/22","","","","https://movie.douban.com/subject/2032714/"
"办公室 第一季 / The Office Season 1","4","2024/10/20","","2005/03/24","美国","https://movie.douban.com/subject/10529476/"
"辛普森一家 第三十三季 / The Simpsons Season 33","","2024/10/18","","2021/09/26","美国","https://movie.douban.com/subject/35384513/"
"辛普森一家 第三十五季 / The Simpsons Season 35","3","2024/10/14","","2023/10/01","美国","https://movie.douban.com/subject/36220848/"
"辛普森一家 第三十四季 / The Simpsons Season 34","4","2024/10/14","","2022/09/25","美国","https://movie.douban.com/subject/35384514/"
"木头与柴火 / TIMBER","","2024/09/30","","2015/01/25","瑞典","https://movie.douban.com/subject/27598510/"
"退货 / Rejected","","2024/09/28","","2000/07/25","美国","https://movie.douban.com/subject/1461798/"
"皮特 / Pete","","2024/09/28","","","","https://movie.douban.com/subject/36439910/"
"王朝 第一季 / Dynasties Season 1","4","2024/09/26","好像是在逸夫馆看的最后几部影视作品","2018/11/12","中国大陆","https://movie.douban.com/subject/27182707/"
"辛普森一家 第三十二季 / The Simpsons Season 32","4","2024/09/25","The show has become too Disney.","2020/09/27","美国","https://movie.douban.com/subject/30454694/"
"辛普森一家 第三十一季 / The Simpsons Season 31","3","2024/09/18","","2019/09/29","美国","https://movie.douban.com/subject/30454693/"
"头脑特工队 / Inside Out","3","2024/09/16","看的时候心情很差，看完之后莫名觉得心情更糟糕了，只有片尾彩蛋比较喜欢。","2015/05/18","戛纳电影节","https://movie.douban.com/subject/10533913/"
"从21世纪安全撤离","2","2024/09/14","又好又烂，穿越虽然不新鲜但拍成中二燃漫多少还有点好玩，顺便还卖得一手好年代感情怀。看罢其实感觉挺爽的（除了结尾有点过于垃圾），但这个剧情内容我想了十分钟也找不出来太多优点。整体情节来说给我的印象就是心智永远活在中学的拿圣婊二元论看女生的男的幻想性地完成热血幼稚正义使命，但内核却像一个哭着演可怜的老男人接受不了青春逝去女友离开和自己的阳痿，因此想出这一切以逃避性地满足自己最后的自尊。倒不是说我无法跟青春燃漫共情，我只是实在受不了故意的浅薄。","2024/08/02","中国大陆","https://movie.douban.com/subject/26816104/"
"了不起的狐狸爸爸 / Fantastic Mr. Fox","5","2024/09/13","🦊✊","2009/10/14","伦敦电影节","https://movie.douban.com/subject/1759386/"
"其他 / Et Cetera","","2024/09/11","","","","https://movie.douban.com/subject/1476241/"
"辛普森一家 第三十季 / The Simpsons Season 30","4","2024/09/09","","2018/09/30","美国","https://movie.douban.com/subject/26910824/"
"金的音像店 / Kim's Video","4","2024/09/07","一开始以为这是一个类似于John Wilson的那种很纽约的纪录片（实际上结构也确实有点像？），但看到后面就越来越变得迷乱和伪纪录片了。总觉得导演还有很多细节并没有说清楚，不知道是不是确实因为条件不允许还是故弄玄虚，以及暗示黑手党和政府勾连的那里真的有点吓人！","2023/01/20","圣丹斯电影节","https://movie.douban.com/subject/36181567/"
"神探夏洛克 第一季 / Sherlock Season 1","","2024/09/07","","2010/07/25","英国","https://movie.douban.com/subject/3986493/"
"你还记得多莉·贝尔吗？ / Sjećaš li se Doli Bel?","4","2024/09/07","提取印度洋的海水，可以让地球远离太阳，获得永远清爽的夏天。在催眠式的社会主义里，一遍遍唱的24 Mila Baci里，不复存在的国家里，你还记得多莉贝尔吗？","1981/04/15","南斯拉夫","https://movie.douban.com/subject/1295068/"
"李献计历险记","","2024/09/06","","2009/12/05","中国大陆","https://movie.douban.com/subject/4226741/"
"西游记","5","2024/09/05","","","","https://movie.douban.com/subject/2156663/"
"拽妹黛薇儿 第五季 / Daria Season 5","5","2024/09/05","","2001/02/19","美国","https://movie.douban.com/subject/26583813/"
"哈佛大学公开课：计算机科学CS50 / CS50 Live","5","2024/09/05","神课","","","https://movie.douban.com/subject/26612582/"
"拽妹黛薇儿要上大学了没 / Daria: Is it College Yet?","5","2024/09/05","","","","https://movie.douban.com/subject/2054458/"
"拽妹黛薇儿之暑假要结束了没 / Daria: The Movie - Is It Fall Yet?","4","2024/09/03","缝缝补补又一年，至少都在成长（除了Kevin and Brittney哈哈哈）","","","https://movie.douban.com/subject/2054560/"
"拽妹黛薇儿 第四季 / Daria Season 4","4","2024/09/02","结尾太脑瘫了，最讨厌看这种狗血戏码。为了一个刚认识几天的男的就瞬间抛弃你最好的女性朋友并且天天没事找事和她吵架还说人家嫉妒你，位置互换才知道被迫当电灯泡会让人很为难当初干嘛去了。评论区也是真的有病不骂Tom骂Daria，你们超爱😅。最后性缘脑到底能不能滚啊，来看Daria不是为了看这种东西的不然不如去看《亢奋》。","2000/02/25","美国","https://movie.douban.com/subject/26583812/"
"心声 / Pauline","","2024/09/01","","2010/11/18","巴黎同志电影节","https://movie.douban.com/subject/6724942/"
