电影/电视剧/番组,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"淘金记 / The Gold Rush","5","2022/04/05","","1925/06/26","美国","https://movie.douban.com/subject/1298817/"
"太平轮(上)","","2022/04/05","","2014/12/02","中国大陆","https://movie.douban.com/subject/3078390/"
"加勒比海盗 / Pirates of the Caribbean: The Curse of the Black ...","5","2022/04/05","","2003/07/09","美国","https://movie.douban.com/subject/1298070/"
"心理罪之城市之光","2","2022/04/05","暑假和几个朋友闲的没事看的，看此电影最大的乐趣就是花式吐槽。烂到离谱的地步。","2017/12/22","中国大陆","https://movie.douban.com/subject/26774722/"
"为奴十二年 / 12 Years a Slave","4","2022/03/31","","2013/08/30","特柳赖德电影节","https://movie.douban.com/subject/6879185/"
"东宫西宫 / 東宮西宮","4","2022/03/28","这星基本是给王二、给似水柔情以及东宫西宫剧本和司汗的。","","","https://movie.douban.com/subject/1304609/"
"末代皇帝 / The Last Emperor","4","2022/03/28","英文对白、或许是更具有还原性的妆造与部分情节都令人有生疏感，时刻因感受到西式目光而出戏。尊龙美到过分、美到让我感觉这根本不是溥仪。三个半小时还是稍显冗长了…但也可以理解。其他地方几乎完美，极有史诗感——辉煌而悲凉的一个人的一生与变革史。(2 有用)","1987/10/04","东京国际电影节","https://movie.douban.com/subject/1293172/"
"小王子 / Le Petit Prince","","2022/03/28","","2015/05/22","戛纳电影节","https://movie.douban.com/subject/20645098/"
"我在故宫修文物","","2022/03/28","","2016/12/16","中国大陆","https://movie.douban.com/subject/26910059/"
"我的个神啊 / PK","3","2022/03/28","","2014/12/19","印度","https://movie.douban.com/subject/10741643/"
"唐人街探案","","2022/03/28","","2015/12/31","中国大陆","https://movie.douban.com/subject/26311973/"
"时间规划局 / In Time","3","2022/03/27","很小的时候看的，现在还记得它的设定。","2011/10/20","加州首映","https://movie.douban.com/subject/4924142/"
"猩球崛起 / Rise of the Planet of the Apes","4","2022/03/27","对我来说，可以列入#那些很多年前看过却让你永远印象深刻的电影#","2011/08/05","美国","https://movie.douban.com/subject/3274505/"
"猩球崛起2：黎明之战 / Dawn of the Planet of the Apes","3","2022/03/27","不如前作，但也还好。","2014/07/11","美国","https://movie.douban.com/subject/7046723/"
"了不起的盖茨比 / The Great Gatsby","4","2022/03/27","多给一星纯粹因为我喜欢小李子…","2013/05/01","纽约首映","https://movie.douban.com/subject/3364223/"
"雾都孤儿 / Oliver Twist","4","2022/03/27","","2005/09/24","捷克","https://movie.douban.com/subject/1418194/"
"冰雪奇缘 / Frozen","4","2022/03/27","let it go","2013/11/27","美国","https://movie.douban.com/subject/4202982/"
"秒速5厘米 / 秒速5センチメートル","","2022/03/27","","2007/03/03","日本","https://movie.douban.com/subject/2043546/"
"中国合伙人","3","2022/03/27","","2013/05/17","中国大陆","https://movie.douban.com/subject/11529526/"
"超能陆战队 / Big Hero 6","4","2022/03/27","","2014/10/23","东京电影节","https://movie.douban.com/subject/11026735/"
"起风了 / 風立ちぬ","4","2022/03/27","起风了，唯有努力生存。美而平淡。","2013/07/20","日本","https://movie.douban.com/subject/6791750/"
"小谢尔顿 第一季 / Young Sheldon Season 1","4","2022/03/27","","2017/09/25","美国","https://movie.douban.com/subject/26910060/"
"雨中曲 / Singin' in the Rain","5","2022/03/26","瑕不掩瑜。既是有声电影变革的时代记录，也是对语音及其代表的社会阶层之忠实记录（后者和窈窕淑女真的很像！）。当然，最俘获人心的还是singing in the rain的曲调和纯粹、振奋人心的美式乐观。(1 有用)","1952/04/11","美国","https://movie.douban.com/subject/1293460/"
"阿甘正传 / Forrest Gump","4","2022/03/26","美国梦。","1994/06/23","洛杉矶首映","https://movie.douban.com/subject/1292720/"
"千与千寻 / 千と千尋の神隠し","5","2022/03/26","重看，上次看的时候还很小很小，只记得温柔的钢琴曲（而且是三级曲目哈哈）。太久没有看到这么美的画面、这么好听的背景音乐和这么美的故事了，感觉给了糟糕的一天一个温柔的结尾。 @2022-09-22 22:00:37","2001/07/20","日本","https://movie.douban.com/subject/1291561/"
"楚门的世界 / The Truman Show","4","2022/03/26","","1998/06/05","美国","https://movie.douban.com/subject/1292064/"
"疯狂动物城 / Zootopia","4","2022/03/26","","2016/03/04","中国大陆","https://movie.douban.com/subject/25662329/"
"怦然心动 / Flipped","3","2022/03/26","","2010/07/26","好莱坞首映","https://movie.douban.com/subject/3319755/"
"少年派的奇幻漂流 / Life of Pi","4","2022/03/26","","2012/09/28","纽约电影节","https://movie.douban.com/subject/1929463/"
"罗马假日 / Roman Holiday","5","2022/03/26","高中英语课全班一起看系列","1953/08/20","威尼斯电影节","https://movie.douban.com/subject/1293839/"
"狮子王 / The Lion King","5","2022/03/26","童年经典","1994/06/15","美国","https://movie.douban.com/subject/1301753/"
"阿凡达 / Avatar","4","2022/03/26","","2009/12/18","美国","https://movie.douban.com/subject/1652587/"
"重庆森林 / 重慶森林","4","2022/03/26","","1994/07/14","中国香港","https://movie.douban.com/subject/1291999/"
"萤火之森 / 蛍火の杜へ","3","2022/03/26","","2011/09/17","日本","https://movie.douban.com/subject/5989818/"
"傲慢与偏见 / Pride & Prejudice","4","2022/03/26","","2005/09/16","英国","https://movie.douban.com/subject/1418200/"
"神偷奶爸 / Despicable Me","4","2022/03/26","","2010/06/20","莫斯科电影节","https://movie.douban.com/subject/3287562/"
"你的名字。 / 君の名は。","3","2022/03/26","","2016/08/26","日本","https://movie.douban.com/subject/26683290/"
"疯狂原始人 / The Croods","4","2022/03/26","","2013/02/15","柏林电影节","https://movie.douban.com/subject/1907966/"
"色，戒","5","2022/03/26","","2007/08/30","威尼斯电影节","https://movie.douban.com/subject/1828115/"
"虎口脱险 / La grande vadrouille","5","2022/03/26","鸳鸯茶，鸳鸯皮，你爱我，我爱你～(1 有用)","1966/12/08","法国","https://movie.douban.com/subject/1296909/"
"心灵奇旅 / Soul","3","2022/03/26","","2020/10/11","伦敦电影节","https://movie.douban.com/subject/24733428/"
"昨天","4","2022/03/25","你就是一个人。(2 有用)","2001/09/04","威尼斯电影节","https://movie.douban.com/subject/1308086/"
"叶问 / 葉問","3","2022/03/25","童年回忆","2008/12/12","中国大陆","https://movie.douban.com/subject/3041806/"
"戏梦巴黎 / The Dreamers","4","2022/03/25","去年看的，忘记标记了。看的时候想起那句“是古老的欧洲强奸了年轻的美国还是年轻的美国诱奸了古老的欧洲”。过去的影评已经找不到了，干脆不写。","2003/09/01","威尼斯电影节","https://movie.douban.com/subject/1291856/"
"音乐之声 / The Sound of Music","5","2022/03/25","","1965/03/02","美国","https://movie.douban.com/subject/1294408/"
"窈窕淑女 / My Fair Lady","5","2022/03/25","皮格马利翁。高中英语课全班花了两节课一起看的，高中三年内我们每个人基本都还能哼唱里面的小调。","1964/12/25","美国","https://movie.douban.com/subject/1297965/"
"冰川时代3 / Ice Age: Dawn of the Dinosaurs","5","2022/03/19","","2009/07/01","美国","https://movie.douban.com/subject/2357162/"
"冰川时代 / Ice Age","","2022/03/19","","2002/03/15","美国","https://movie.douban.com/subject/1291578/"
"冰川时代2 / Ice Age: The Meltdown","","2022/03/19","","2006/03/31","美国","https://movie.douban.com/subject/1437342/"
"冰川时代4 / Ice Age: Continental Drift","","2022/03/19","","2012/06/27","法国","https://movie.douban.com/subject/4914468/"
"冰川时代5：星际碰撞 / Ice Age: Collision Course","","2022/03/19","","2016/07/22","美国","https://movie.douban.com/subject/25797778/"
"请以你的仆人呼唤我 / Call Me by Your Maid","4","2022/03/18","哈哈哈哈哈哈哈哈","2018/02/28","美国","https://movie.douban.com/subject/34957898/"
"残影余像 / Powidoki","4","2022/03/14","","2016/09/10","多伦多电影节","https://movie.douban.com/subject/26677427/"
"性爱自修室 第三季 / Sex Education Season 3","4","2022/03/11","","2021/09/17","英国","https://movie.douban.com/subject/34966169/"
"马男波杰克 第六季 / BoJack Horseman Season 6","5","2022/02/24","","2019/10/25","美国","https://movie.douban.com/subject/30366464/"
"马男波杰克 第五季 / BoJack Horseman Season 5","5","2022/02/24","","2018/09/14","美国","https://movie.douban.com/subject/27149382/"
"鬼马奶爸 / Horsin' Around","5","2022/02/24","","","","https://movie.douban.com/subject/30205145/"
"马男波杰克 第四季 / BoJack Horseman Season 4","5","2022/02/18","","2017/09/08","美国","https://movie.douban.com/subject/26842335/"
"马男波杰克 第二季 / BoJack Horseman Season 2","4","2022/02/16","","2015/07/17","美国","https://movie.douban.com/subject/26295873/"
"马男波杰克 第三季 / BoJack Horseman Season 3","4","2022/02/16","","2016/07/22","美国","https://movie.douban.com/subject/26581673/"
"马男波杰克 第一季 / BoJack Horseman Season 1","5","2022/02/15","","2014/08/22","美国","https://movie.douban.com/subject/25900177/"
"性爱自修室 第一季 / Sex Education Season 1","4","2022/02/15","","2019/01/11","美国","https://movie.douban.com/subject/27594217/"
"憨豆先生 / Mr. Bean","5","2022/02/15","","1990/01/01","英国","https://movie.douban.com/subject/1302958/"
"倒数时刻 / Tick, Tick…Boom!","4","2022/01/21","已经记不清当时看完什么感想，可能是感觉过分明亮了，为梦想拼搏的主题有点平庸。加菲挺帅，音乐不错，总体还好。","2021/11/10","美国电影学会电影节","https://movie.douban.com/subject/30279170/"
"小鬼当家 / Home Alone","4","2022/01/21","","1990/11/16","美国","https://movie.douban.com/subject/1293088/"
"断背山 / Brokeback Mountain","5","2021/11/18","","2005/09/02","威尼斯电影节","https://movie.douban.com/subject/1418834/"
"步履不停 / 歩いても 歩いても","4","2021/11/18","","2008/06/28","日本","https://movie.douban.com/subject/2222996/"
"海街日记 / 海街diary","4","2021/11/18","","2015/05/14","戛纳电影节","https://movie.douban.com/subject/25895901/"
"你好，李焕英","4","2021/11/18","","2021/02/12","中国大陆","https://movie.douban.com/subject/34841067/"
"老友记重聚特辑 / Friends: The Reunion","5","2021/11/18","","2021/05/27","美国网络","https://movie.douban.com/subject/34908189/"
"生活大爆炸  第二季 / The Big Bang Theory Season 2","4","2021/11/18","","2008/09/22","美国","https://movie.douban.com/subject/3190880/"
"老友记 第二季 / Friends Season 2","5","2021/11/18","","1995/09/21","美国","https://movie.douban.com/subject/3286528/"
"老友记  第三季 / Friends Season 3","5","2021/11/18","","1996/09/16","美国","https://movie.douban.com/subject/3286531/"
"老友记  第四季 / Friends Season 4","5","2021/11/18","","1997/09/25","美国","https://movie.douban.com/subject/3286536/"
"老友记  第五季 / Friends Season 5","5","2021/11/18","","1998/09/24","美国","https://movie.douban.com/subject/3286538/"
"老友记  第六季 / Friends Season 6","5","2021/11/18","","1999/09/23","美国","https://movie.douban.com/subject/3286543/"
"老友记  第七季 / Friends Season 7","5","2021/11/18","","2000/10/12","美国","https://movie.douban.com/subject/3286547/"
"老友记  第八季 / Friends Season 8","5","2021/11/18","","2001/09/27","美国","https://movie.douban.com/subject/3286548/"
"老友记  第九季 / Friends Season 9","4","2021/11/18","","2002/09/26","美国","https://movie.douban.com/subject/3286549/"
"老友记 第十季 / Friends Season 10","5","2021/11/18","","2003/09/25","美国","https://movie.douban.com/subject/3286552/"
"瑞克和莫蒂 第五季 / Rick and Morty Season 5","4","2021/11/18","","2021/06/20","美国","https://movie.douban.com/subject/34908206/"
"瑞克和莫蒂 第二季 / Rick and Morty Season 2","5","2021/11/18","","2015/07/26","美国","https://movie.douban.com/subject/25865470/"
"瑞克和莫蒂 第三季 / Rick and Morty Season 3","5","2021/11/18","","2017/04/01","首播集","https://movie.douban.com/subject/26592971/"
"瑞克和莫蒂 第四季 / Rick and Morty Season 4","5","2021/11/18","","2019/11/10","美国","https://movie.douban.com/subject/27166039/"
"哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone","4","2021/11/15","","2001/11/04","英国首映","https://movie.douban.com/subject/1295038/"
"唐伯虎点秋香 / 唐伯虎點秋香","3","2021/11/15","","1993/07/01","中国香港","https://movie.douban.com/subject/1306249/"
"乱世佳人 / Gone with the Wind","4","2021/11/15","","1939/12/15","美国","https://movie.douban.com/subject/1300267/"
"何以为家 / كفرناحوم","5","2021/11/15","","2018/05/17","戛纳电影节","https://movie.douban.com/subject/30170448/"
"寄生虫 / 기생충","4","2021/11/15","","2019/05/21","戛纳电影节","https://movie.douban.com/subject/27010768/"
"玩具总动员4 / Toy Story 4","5","2021/11/15","","2019/06/21","美国","https://movie.douban.com/subject/6850547/"
"玩具总动员 / Toy Story","5","2021/11/15","感谢w女士送给我的礼物嘿嘿！今日重温童年经典，充满童趣的玩具想象+日常冒险仍旧精彩。玩总永不过时！ @2022-12-02 01:37:45","1995/11/22","美国","https://movie.douban.com/subject/1291575/"
"玩具总动员2 / Toy Story 2","3","2021/11/15","2相比134真的有点一般 @2022-12-03 22:02:11","1999/11/24","美国","https://movie.douban.com/subject/1291574/"
"玩具总动员3 / Toy Story 3","5","2021/11/15","😭😭😭 @2022-12-04 01:23:22","2010/06/16","中国大陆","https://movie.douban.com/subject/1858711/"
"阿黛尔的生活 / La Vie d'Adèle","4","2021/11/15","","2013/05/23","戛纳电影节","https://movie.douban.com/subject/10535568/"
"苏州河","5","2021/11/11","","2000/09/07","中国香港","https://movie.douban.com/subject/1299661/"
"谁先爱上他的 / 誰先愛上他的","4","2021/11/10","","2018/04/22","乌迪内远东电影节","https://movie.douban.com/subject/27119586/"
"卡罗尔 / Carol","4","2021/11/10","","2015/05/17","戛纳电影节","https://movie.douban.com/subject/10757577/"
"蓝宇 / 藍宇","5","2021/11/10","二刷，在结尾看着车窗外飞驰而过的蓝墙流泪。 @2022-06-09 09:29:16","2001/11/22","中国香港","https://movie.douban.com/subject/1308076/"
"春风沉醉的夜晚","5","2021/11/10","","2009/05/14","戛纳电影节","https://movie.douban.com/subject/3690289/"
"猫鼠游戏 / Catch Me If You Can","4","2021/10/27","","2002/12/16","洛杉矶首映","https://movie.douban.com/subject/1305487/"
"兹山鱼谱 / 자산어보","4","2021/10/27","","2021/03/31","韩国","https://movie.douban.com/subject/30409439/"
"兰心大剧院","5","2021/10/27","","2019/09/04","威尼斯电影节","https://movie.douban.com/subject/26954859/"
"一直游到海水变蓝","3","2021/10/27","","2020/02/21","柏林电影节","https://movie.douban.com/subject/33440244/"
"老友记 第一季 / Friends Season 1","5","2021/10/27","","1994/09/22","美国","https://movie.douban.com/subject/1393859/"
"请回答1988 / 응답하라 1988","4","2021/10/27","","2015/11/06","韩国","https://movie.douban.com/subject/26302614/"
"瑞克和莫蒂 第一季 / Rick and Morty Season 1","5","2021/10/27","","2013/12/02","美国","https://movie.douban.com/subject/11537954/"
"红楼梦","5","2021/10/27","","1987/05/02","中国大陆","https://movie.douban.com/subject/1864810/"
"猫和老鼠 / Tom and Jerry","5","2021/10/27","","1965/09/25","美国","https://movie.douban.com/subject/4321270/"
"罗生门 / 羅生門","5","2021/03/10","","1950/08/26","日本","https://movie.douban.com/subject/1291879/"
"大头儿子和小头爸爸","","2021/02/23","","1995/12/31","中国大陆","https://movie.douban.com/subject/2148394/"
"地球最后的夜晚","","2021/02/23","","2018/05/15","戛纳电影节","https://movie.douban.com/subject/26633257/"
"爱你，西蒙 / Love, Simon","","2021/02/23","","2018/03/16","美国","https://movie.douban.com/subject/26654498/"
"吉祥如意","","2021/02/23","","2020/07/26","上海电影节","https://movie.douban.com/subject/35068230/"
"小妇人 / Little Women","","2021/02/23","","2019/12/25","美国","https://movie.douban.com/subject/26348103/"
"小偷家族 / 万引き家族","","2021/02/23","","2018/05/13","戛纳电影节","https://movie.douban.com/subject/27622447/"
"波西米亚狂想曲 / Bohemian Rhapsody","","2021/02/23","","2018/11/02","美国","https://movie.douban.com/subject/5300054/"
"掬水月在手","","2021/02/23","","2020/07/26","上海电影节","https://movie.douban.com/subject/34914949/"
"绿皮书 / Green Book","","2021/02/23","","2018/09/11","多伦多电影节","https://movie.douban.com/subject/27060077/"
"少年的你","","2021/02/23","","2019/10/25","中国大陆","https://movie.douban.com/subject/30166972/"
"1917","4","2021/02/23","和四十九一块看的，除了一镜到底以外其他不够吸引人。","2019/12/25","美国","https://movie.douban.com/subject/30252495/"
"无依之地 / Nomadland","5","2021/02/23","","2020/09/11","威尼斯电影节","https://movie.douban.com/subject/30458949/"
"调音师 / Andhadhun","","2021/02/23","","2018/10/05","印度","https://movie.douban.com/subject/30334073/"
"一个叫欧维的男人决定去死 / En man som heter Ove","","2021/02/23","","2015/12/25","瑞典","https://movie.douban.com/subject/26628357/"
"我不是药神","","2021/02/23","","2018/06/30","大规模点映","https://movie.douban.com/subject/26752088/"
"海蒂和爷爷 / Heidi","","2021/02/23","","2015/12/10","德国","https://movie.douban.com/subject/25958717/"
"哪吒之魔童降世","3","2021/02/23","","2019/07/13","大规模点映","https://movie.douban.com/subject/26794435/"
"寻梦环游记 / Coco","4","2021/02/23","","2017/11/22","美国","https://movie.douban.com/subject/20495023/"
"送你一朵小红花","4","2021/02/23","","2020/12/31","中国大陆","https://movie.douban.com/subject/35096844/"
"绝杀慕尼黑 / Движение вверх","","2021/02/23","","2017/12/28","俄罗斯","https://movie.douban.com/subject/27024959/"
"士兵突击","","2021/02/23","","2006/12/24","中国大陆","https://movie.douban.com/subject/2154096/"
"摔跤吧！爸爸 / Dangal","","2021/02/23","","2016/12/23","印度","https://movie.douban.com/subject/26387939/"
"起跑线 / Hindi Medium","","2021/02/23","","2017/05/19","印度","https://movie.douban.com/subject/26942631/"
"我和我的祖国","","2021/02/23","","2019/09/30","中国大陆","https://movie.douban.com/subject/32659890/"
"疯狂原始人2 / The Croods: A New Age","","2021/02/23","","2020/11/25","美国","https://movie.douban.com/subject/24298954/"
"姜子牙","","2021/02/23","","2020/10/01","中国大陆","https://movie.douban.com/subject/25907124/"
"小萝莉的猴神大叔 / Bajrangi Bhaijaan","","2021/02/23","","2015/07/17","印度","https://movie.douban.com/subject/26393561/"
"神秘巨星 / Secret Superstar","3","2021/02/23","","2017/10/18","印度","https://movie.douban.com/subject/26942674/"
"天才枪手 / ฉลาดเกมส์โกง","","2021/02/23","","2017/05/03","泰国","https://movie.douban.com/subject/27024903/"
"无问西东","","2021/02/23","","2018/01/12","中国大陆","https://movie.douban.com/subject/6874741/"
"快把我哥带走","","2021/02/23","","2018/08/17","中国大陆","https://movie.douban.com/subject/30122633/"
"一出好戏","","2021/02/23","","2018/08/10","中国大陆","https://movie.douban.com/subject/26985127/"
"头号玩家 / Ready Player One","4","2020/10/01","对此电影情感复杂。","2018/03/11","西南偏南电影节","https://movie.douban.com/subject/4920389/"
"八佰","4","2020/09/12","","2020/08/14","大规模点映","https://movie.douban.com/subject/26754233/"
"痛苦与荣耀 / Dolor y gloria","4","2020/08/18","","2019/03/13","马德里首映","https://movie.douban.com/subject/30198539/"
"指匠情挑 / Fingersmith","5","2020/08/18","","2005/03/27","英国","https://movie.douban.com/subject/1417051/"
"月光男孩 / Moonlight","4","2020/08/18","","2016/09/02","特柳赖德电影节","https://movie.douban.com/subject/26648249/"
"生活大爆炸  第一季 / The Big Bang Theory Season 1","4","2020/08/15","","2007/09/24","美国","https://movie.douban.com/subject/2156528/"
"燃烧女子的肖像 / Portrait de la jeune fille en feu","5","2020/08/14","","2019/05/19","戛纳电影节","https://movie.douban.com/subject/30257175/"
"普罗旺斯的夏天 / Avis de mistral","4","2020/08/14","","2014/04/02","法国","https://movie.douban.com/subject/25858604/"
"霸王别姬","5","2020/07/13","","1993/01/01","中国香港","https://movie.douban.com/subject/1291546/"
"肖申克的救赎 / The Shawshank Redemption","4","2020/07/13","","1994/09/10","多伦多电影节","https://movie.douban.com/subject/1292052/"
"这个杀手不太冷 / Léon","4","2020/07/13","","1994/09/14","法国","https://movie.douban.com/subject/1295644/"
"辛德勒的名单 / Schindler's List","5","2020/07/13","","1993/11/30","华盛顿首映","https://movie.douban.com/subject/1295124/"
"泰坦尼克号 / Titanic","4","2020/07/13","","1997/11/01","东京电影节","https://movie.douban.com/subject/1292722/"
"三傻大闹宝莱坞 / 3 Idiots","4","2020/07/13","","2009/12/25","印度","https://movie.douban.com/subject/3793023/"
"春光乍泄 / 春光乍洩","5","2020/07/13","","1997/05/17","戛纳电影节","https://movie.douban.com/subject/1292679/"
"请以你的名字呼唤我 / Call Me by Your Name","5","2020/07/13","","2017/01/22","圣丹斯电影节","https://movie.douban.com/subject/26799731/"
