电影/电视剧/番组,标题,上映日期,制片国家,条目链接
"一切善良的市民们 / Všichni dobří rodáci","","","https://movie.douban.com/subject/1294375/"
"镜的第三乐章 / Miroirs No. 3","2025/05/17","戛纳电影节","https://movie.douban.com/subject/36877209/"
"在水中 / 물안에서","2023/02/22","柏林国际电影节","https://movie.douban.com/subject/36219938/"
"短岬村 / La Pointe Courte","","","https://movie.douban.com/subject/1297682/"
"喜福会 / The Joy Luck Club","","","https://movie.douban.com/subject/1299923/"
"女性电影人：一部贯穿电影史的新公路影片 / Women Make Film: A Ne...","2018/09/01","威尼斯电影节","https://movie.douban.com/subject/30289149/"
"我，许可","2026/04/03","中国大陆","https://movie.douban.com/subject/37332784/"
"迷宫饭 第二季 / ダンジョン飯 第2期","","","https://movie.douban.com/subject/36936169/"
"走近蓝色海岸 / Du côté de la côte","","","https://movie.douban.com/subject/1475183/"
"摇滚校园 / School of Rock","2003/09/09","多伦多电影节","https://movie.douban.com/subject/1308620/"
"混沌少年时 第二季 / Adolescence Season 2","","","https://movie.douban.com/subject/37311325/"
"怪奇物语 第五季 / Stranger Things Season 5","2025/11/26","美国","https://movie.douban.com/subject/35774681/"
"小城之春","","","https://movie.douban.com/subject/1323746/"
"思考之弈 / The Thinking Game","2024/06/08","翠贝卡电影节","https://movie.douban.com/subject/36877225/"
"美国制造 / Made in U.S.A.","","","https://movie.douban.com/subject/1304741/"
"我略知她一二 / 2 ou 3 choses que je sais d'elle","","","https://movie.douban.com/subject/1300964/"
"巴里·林登 / Barry Lyndon","1975/12/11","英国","https://movie.douban.com/subject/1292472/"
"迷宫饭 / ダンジョン飯","2023/12/08","日本影院","https://movie.douban.com/subject/35801594/"
"对不起，宝贝 / Sorry, Baby","2025/01/27","圣丹斯电影节","https://movie.douban.com/subject/36809707/"
"设计面面观 / Objectified","","","https://movie.douban.com/subject/3103413/"
"街拍纽约 / Everybody Street","","","https://movie.douban.com/subject/24380770/"
"保罗·麦卡特尼：在逃人生 / Man on the Run","2025/08/30","特柳赖德电影节","https://movie.douban.com/subject/36243586/"
"日以作夜 / La nuit américaine","","","https://movie.douban.com/subject/1293299/"
"伯德小姐 / Lady Bird","2017/09/01","特柳赖德电影节","https://movie.douban.com/subject/26588314/"
"九三年夏天 / Estiu 1993","2017/02/11","柏林电影节","https://movie.douban.com/subject/26979007/"
"阿尔卡拉斯 / Alcarràs","2022/02/15","柏林电影节","https://movie.douban.com/subject/35038640/"
"酒会 / The Party","2017/02/13","柏林电影节","https://movie.douban.com/subject/26710371/"
"弥留之国的爱丽丝 第一季 / 今際の国のアリス","2020/12/10","日本","https://movie.douban.com/subject/34477588/"
"羞耻 第四季 / Skam Sesong 4","2017/04/10","挪威","https://movie.douban.com/subject/27012497/"
"奥威尔：2+2=5 / Orwell: 2+2=5","2025/05/17","戛纳电影节","https://movie.douban.com/subject/36305391/"
"弗兰肯斯坦 / Frankenstein","2025/08/30","威尼斯电影节","https://movie.douban.com/subject/3262044/"
"二〇二五年的欧陆 / Kontinental '25","2025/02/19","柏林电影节","https://movie.douban.com/subject/37170426/"
"史努比露营大冒险 / Camp Snoopy","2024/06/14","美国","https://movie.douban.com/subject/36910489/"
"列宁格勒牛仔征美记 / Leningrad Cowboys Go America","1989/03/24","芬兰","https://movie.douban.com/subject/1316560/"
"西蒙娜·德·波伏娃：为什么我是女性主义者 / Simone de Beauvoir:...","","","https://movie.douban.com/subject/30438224/"
"别回头 / Dont Look Back","","","https://movie.douban.com/subject/1305223/"
"绝命毒师 第一季 / Breaking Bad Season 1","2008/01/20","美国","https://movie.douban.com/subject/2373195/"
"穿越无尽的海洋前往月球 / Kyuka: Before Summer's End","2024/05/15","戛纳电影节","https://movie.douban.com/subject/36749546/"
"女孩","2025/09/04","威尼斯电影节","https://movie.douban.com/subject/36986482/"
"寂静的朋友 / Stille Freundin","2025/09/05","威尼斯电影节","https://movie.douban.com/subject/26967871/"
"她在愤怒时最美 / She's Beautiful When She's Angry","2014/10/02","密尔沃基电影节","https://movie.douban.com/subject/26200629/"
"巴黎在燃烧 / Paris Is Burning","","","https://movie.douban.com/subject/1299344/"
"百年包豪斯 / Bauhaus 100","2019/03/05","德国","https://movie.douban.com/subject/34851212/"
"朋克酷儿 / Queer As Punk","2025/02/16","柏林电影节","https://movie.douban.com/subject/36550882/"
"蜡笔小新：大人王国的反击 / クレヨンしんちゃん 嵐を呼ぶ モーレ...","2001/04/21","日本","https://movie.douban.com/subject/1958667/"
"罗马 / Roma","2018/08/30","威尼斯电影节","https://movie.douban.com/subject/1950330/"
"佛罗里达乐园 / The Florida Project","2017/05/22","戛纳电影节","https://movie.douban.com/subject/26778790/"
"隐藏摄像机 / Caché","2005/05/14","戛纳电影节","https://movie.douban.com/subject/1438066/"
"少年时代 / Boyhood","2014/01/19","圣丹斯电影节","https://movie.douban.com/subject/2209575/"
"腓尼基计划 / The Phoenician Scheme","2025/05/18","戛纳国际电影节","https://movie.douban.com/subject/36465394/"
"四叠半神话大系 / 四畳半神話大系","2010/04/22","日本","https://movie.douban.com/subject/4195678/"
"白日梦想家 / The Secret Life of Walter Mitty","2013/12/25","美国","https://movie.douban.com/subject/2133323/"
"鼹鼠的故事 / Krtek","","","https://movie.douban.com/subject/2994961/"
"悠长假期 / ロングバケーション","1996/04/15","日本","https://movie.douban.com/subject/1436674/"
"一周八天：披头士的巡演时代 / The Beatles: Eight Days a Week - ...","2016/09/15","英国","https://movie.douban.com/subject/26821230/"
"乔治·哈里森：活在物质世界 / George Harrison: Living in the Ma...","","","https://movie.douban.com/subject/2997114/"
"英国病人 / The English Patient","1996/12/06","美国","https://movie.douban.com/subject/1291853/"
"随心所欲 / Vivre sa vie: Film en douze tableaux","1962/08/28","威尼斯电影节","https://movie.douban.com/subject/1296757/"
"欲望号快车 / Crash","1996/05/17","戛纳电影节","https://movie.douban.com/subject/1292682/"
"情感价值 / Affeksjonsverdi","2025/05/21","戛纳电影节","https://movie.douban.com/subject/36413501/"
"报社 第一季 / The Paper Season 1","2025/09/04","美国","https://movie.douban.com/subject/36865308/"
"莫里斯 / Maurice","1987/09/05","威尼斯电影节","https://movie.douban.com/subject/1293456/"
"红猪 / 紅の豚","1992/07/18","日本","https://movie.douban.com/subject/1291838/"
"秘密会议 / Conclave","2024/08/30","特柳赖德电影节","https://movie.douban.com/subject/35948807/"
"双姝奇缘 / 4 aventures de Reinette et Mirabelle","1987/02/04","法国","https://movie.douban.com/subject/1421309/"
"绅士联盟 第一季 / The League of Gentlemen Season 1","1999/01/11","英国","https://movie.douban.com/subject/1756243/"
"阿涅斯的海滩 / Les plages d'Agnès","2008/09/03","威尼斯电影节","https://movie.douban.com/subject/3162138/"
"办公室笑云 第一季 / The Office Season 1","2001/07/09","英国","https://movie.douban.com/subject/1428333/"
"最后一场胶片电影放映 / છેલ્લો શો","2021/06/10","翠贝卡电影节","https://movie.douban.com/subject/35028512/"
"电影史话：新生代 / The Story of Film: A New Generation","2021/07/06","英国","https://movie.douban.com/subject/35506322/"
"常见副作用 第一季 / Common Side Effects Season 1","2025/02/02","美国","https://movie.douban.com/subject/36650558/"
"是，首相 第一季 / Yes, Prime Minister Season 1","1986/01/09","英国","https://movie.douban.com/subject/1441948/"
"日出 / Sunrise: A Song of Two Humans","","","https://movie.douban.com/subject/1295753/"
"泳者之心 / Young Woman and the Sea","2024/05/31","美国/中国大陆","https://movie.douban.com/subject/26656728/"
"一对一：约翰与洋子 / One to One: John & Yoko","2024/08/30","威尼斯电影节","https://movie.douban.com/subject/36912668/"
"2号玩家 / Ready Player Two","","","https://movie.douban.com/subject/35300121/"
"我的世界：Mojang的故事 / Minecraft: The Story of Mojang","2012/12/23","美国","https://movie.douban.com/subject/20471027/"
"我的世界 / Minecraft","","","https://movie.douban.com/subject/36910964/"
"鸟姐妹的反差生活 第一季 / Tuca & Bertie Season 1","2019/05/03","美国","https://movie.douban.com/subject/30155283/"
"变态者意识形态指南 / The Pervert's Guide to Ideology","2013/10/04","英国","https://movie.douban.com/subject/11613507/"
"妖魔鬼怪 / Les ogres","2015/10/06","圣让-德吕兹影展","https://movie.douban.com/subject/26331202/"
"迷失 第一季 / Lost Season 1","2004/09/22","美国","https://movie.douban.com/subject/1394819/"
"诗无尽头 / Poesía sin fin","2016/05/14","戛纳电影节","https://movie.douban.com/subject/26352306/"
"宽恕 / Miséricorde","2024/05/20","戛纳电影节","https://movie.douban.com/subject/36122235/"
"洞","1998/09/14","中国台湾","https://movie.douban.com/subject/1307991/"
"粗野派 / The Brutalist","2024/09/01","威尼斯电影节","https://movie.douban.com/subject/30388206/"
"热带鱼 / 熱帶魚","1995/08/01","中国台湾","https://movie.douban.com/subject/1302181/"
"金发女郎的爱情 / Lásky jedné plavovlásky","","","https://movie.douban.com/subject/1303082/"
"探求自我的世纪 / The Century of the Self","","","https://movie.douban.com/subject/1779678/"
"鹿皮 / Le daim","2019/05/15","戛纳电影节","https://movie.douban.com/subject/30234197/"
"自由了！ / En liberté!","2018/05/14","戛纳电影节","https://movie.douban.com/subject/27607255/"
"天涯沦落女 / Sans toit ni loi","1985/08/30","威尼斯电影节","https://movie.douban.com/subject/1292445/"
"关于衡水中学的一切","","","https://movie.douban.com/subject/37241991/"
"2046","2004/05/20","戛纳电影节","https://movie.douban.com/subject/1291555/"
"枯叶 / Kuolleet lehdet","2023/05/22","戛纳电影节","https://movie.douban.com/subject/35928797/"
"伴我同行 / Stand by Me","1986/08/08","美国","https://movie.douban.com/subject/1292925/"
"她 / Her","2013/10/12","纽约电影节","https://movie.douban.com/subject/6722879/"
"小孩儿 / Kiddo","2023/02/19","柏林电影节","https://movie.douban.com/subject/36217805/"
"在我父母家 / Im Haus meiner Eltern","2025/02/03","鹿特丹电影节","https://movie.douban.com/subject/37165395/"
"邓南遮占领阜姆自由邦 / Fiume o morte!","2025/02/02","鹿特丹电影节","https://movie.douban.com/subject/35699782/"
"是，大臣  第一季 / Yes Minister Season 1","1980/02/25","英国","https://movie.douban.com/subject/4937405/"
"杀死一只知更鸟 / To Kill a Mockingbird","1962/12/25","洛杉矶首映","https://movie.douban.com/subject/1297991/"
"金玉满堂 / 金玉滿堂","1995/01/28","中国香港","https://movie.douban.com/subject/1295374/"
"异形 / Alien","1979/05/25","美国","https://movie.douban.com/subject/1300868/"
"双峰 第一季 / Twin Peaks Season 1","1990/04/08","美国","https://movie.douban.com/subject/1295526/"
"假小子 / Tomboy","2011/02/11","柏林电影节","https://movie.douban.com/subject/6006087/"
"超级无敌掌门狗：企鹅的复仇 / Wallace & Gromit: Vengeance Most ...","2024/10/27","AFI电影节","https://movie.douban.com/subject/35936983/"
"群山颤抖时 / When the Mountains Tremble","","","https://movie.douban.com/subject/3668141/"
"GTFO: Get the F&#% Out","","","https://movie.douban.com/subject/26653849/"
"幸福的拉扎罗 / Lazzaro felice","2018/05/13","戛纳电影节","https://movie.douban.com/subject/27072795/"
"未麻的部屋 / Perfect Blue","1997/08/05","加拿大奇幻电影节","https://movie.douban.com/subject/1395091/"
"电幻国度 / The Electric State","2025/03/14","美国网络","https://movie.douban.com/subject/27606065/"
"我你他她 / Je, tu, il, elle","","","https://movie.douban.com/subject/1429055/"
"小说家","2024/07/21","FIRST青年电影展","https://movie.douban.com/subject/36907690/"
"安德烈·卢布廖夫 / Андрей Рублёв","","","https://movie.douban.com/subject/1298248/"
"脸红的夏日 / El último verano de la Boyita","","","https://movie.douban.com/subject/3833816/"
"无主之作 / Werk ohne Autor","2018/09/04","威尼斯电影节","https://movie.douban.com/subject/26701196/"
"冬冬的假期","","","https://movie.douban.com/subject/1299103/"
"动物之森 / 劇場版 どうぶつの森","2006/12/16","日本","https://movie.douban.com/subject/2242600/"
"破·地狱 / 破·地獄","2024/10/17","香港亚洲电影节","https://movie.douban.com/subject/36712987/"
"小小的我","2024/11/02","东京国际电影节","https://movie.douban.com/subject/36498717/"
"燃火的时刻 / La hora de los hornos: Notas y testimonios sobre ...","","","https://movie.douban.com/subject/2245725/"
"荒野 第一季 / The Wilds Season 1","2020/12/11","美国","https://movie.douban.com/subject/30259934/"
"侠盗猎车哈姆雷特 / Grand Theft Hamlet","2024/03/08","西南偏南电影节","https://movie.douban.com/subject/36738810/"
"秘密关卡 第一季 / Secret Level Season 1","2024/12/10","美国","https://movie.douban.com/subject/37005611/"
"维度：数学漫步 / Dimensions: A Walk Through Mathematics","","","https://movie.douban.com/subject/3194941/"
"帧影帧画 / Every Frame a Painting","","","https://movie.douban.com/subject/26899322/"
"逃脱 / The Outrun","2024/01/19","圣丹斯电影节","https://movie.douban.com/subject/35756784/"
"李小龙 / Bruce Lee","","","https://movie.douban.com/subject/36174337/"
"摇滚诗人：未知的传奇 / A Complete Unknown","2024/12/25","美国","https://movie.douban.com/subject/34940704/"
"旺卡 / Wonka","2023/12/06","中国台湾","https://movie.douban.com/subject/26897888/"
"我的朋友安德烈","2024/10/28","东京国际电影节","https://movie.douban.com/subject/35416504/"
"佩尔德利 / Perdrix","2019/05/19","戛纳电影节","https://movie.douban.com/subject/30463904/"
"蓦然回首 / ルックバック","2024/06/10","安纳西国际动画电影节","https://movie.douban.com/subject/36765646/"
"这不是我 / C'est pas moi","2024/05/18","戛纳电影节","https://movie.douban.com/subject/36436286/"
"宠儿 / The Favourite","2018/08/30","威尼斯电影节","https://movie.douban.com/subject/26628282/"
"博·伯翰：隔离在家 / Bo Burnham: Inside","2021/05/30","美国","https://movie.douban.com/subject/35453767/"
"里斯本丸沉没","2023/08/15","伦敦BFI首映","https://movie.douban.com/subject/30412658/"
"打开心世界 / The World to Come","2020/09/06","威尼斯电影节","https://movie.douban.com/subject/30454679/"
"第四公民 / Citizenfour","2014/10/10","纽约电影节","https://movie.douban.com/subject/26059437/"
"拉字至上  第一季 / The L Word Season 1","2004/01/18","加拿大","https://movie.douban.com/subject/1397345/"
"风林火山 / 風林火山","2025/05/16","戛纳电影节","https://movie.douban.com/subject/26351864/"
"生命是个奇迹 / Живот је чудо","","","https://movie.douban.com/subject/1416895/"
"中国奇谭2","2026/01/01","中国大陆","https://movie.douban.com/subject/36299879/"
"拾荒者 / Scavengers","2016/12/24","美国","https://movie.douban.com/subject/26948472/"
"出走的决心","2024/09/15","中国大陆","https://movie.douban.com/subject/36587974/"
"蓝白红三部曲之蓝 / Trois couleurs: Bleu","1993/09/03","特柳赖德电影节","https://movie.douban.com/subject/1292048/"
"外婆的蓝色铁皮柜轮椅","2021/09/21","北京国际电影节","https://movie.douban.com/subject/36394710/"
"我的阿勒泰","2024/04/07","戛纳电视剧节","https://movie.douban.com/subject/36245596/"
"电影史 / Histoire(s) du cinéma","1989/05/07","法国","https://movie.douban.com/subject/33451784/"
"婴儿入侵 / Baby Invasion","2024/08/31","威尼斯电影节","https://movie.douban.com/subject/36823407/"
"布拉格之恋 / The Unbearable Lightness of Being","1988/02/05","美国","https://movie.douban.com/subject/1291859/"
"隔壁房间 / The Room Next Door","2024/09/02","威尼斯电影节","https://movie.douban.com/subject/36687720/"
"犬之岛 / Isle of Dogs","2018/02/15","柏林电影节","https://movie.douban.com/subject/26640371/"
"光，光，光 / Valoa valoa valoa","2023/08/23","埃斯波电影节","https://movie.douban.com/subject/35305645/"
"释放的青春 / Déchaînées","2009/05/08","法国","https://movie.douban.com/subject/5162599/"
"面子 / Saving Face","2004/09/12","多伦多电影节","https://movie.douban.com/subject/1421278/"
"吻我 / Kyss mig","2011/07/29","瑞典","https://movie.douban.com/subject/6307506/"
"小狗与小猫的奇妙世界 / The Wonderful World of Puppies and Kittens","","","https://movie.douban.com/subject/30191960/"
"约翰·威尔逊的十万个怎么做 第三季 / How to with John Wilson Se...","2023/07/28","美国","https://movie.douban.com/subject/36151441/"
"在溪边 / 수유천","2024/08/16","洛迦诺电影节","https://movie.douban.com/subject/36890035/"
"Think Aaron","","","https://movie.douban.com/subject/36680346/"
"无名巾帼 / Unsung Women","2021/01/01","英国","https://movie.douban.com/subject/36680353/"
"猫的协奏曲 / The Cat Concerto","1947/04/26","美国","https://movie.douban.com/subject/1295833/"
"锔瓷","2024/07/22","FIRST青年电影展","https://movie.douban.com/subject/36943004/"
"你那边几点 / 你那邊幾點","","","https://movie.douban.com/subject/1294540/"
"恐怖游轮 / Triangle","2009/10/16","英国","https://movie.douban.com/subject/3011051/"
"从今以后 / 從今以後","2024/02/16","柏林电影节","https://movie.douban.com/subject/35618436/"
"扯淡地球史 / Cunk on Earth","2022/09/19","英国","https://movie.douban.com/subject/36111271/"
"烈日灼心","2015/06/15","上海电影节","https://movie.douban.com/subject/24719063/"
"大富翁 / Monopoly","","","https://movie.douban.com/subject/3014396/"
"披头士天台演唱会 / The Beatles' rooftop concert","","","https://movie.douban.com/subject/34678737/"
"机器人不吃酸泡菜 / Roboter essen kein Sauerkraut","","","https://movie.douban.com/subject/4271002/"
"Burning Sun：揭露韩流明星聊天室里的秘密 / Burning Sun: Exposin...","2024/05/19","英国","https://movie.douban.com/subject/36897587/"
"卡夫卡 / Kafka","2024/03/26","德国","https://movie.douban.com/subject/36747754/"
"欧内斯特·科尔 / Ernest Cole: Lost and Found","2024/05/20","戛纳电影节","https://movie.douban.com/subject/36418390/"
"无法保持沉默的人 / Čovjek koji nije mogao šutjeti","2024/05/17","戛纳电影节","https://movie.douban.com/subject/36866575/"
"想象之光 / All We Imagine as Light","2024/05/23","戛纳电影节","https://movie.douban.com/subject/35965772/"
"神圣无花果之种 / دانه انجیر م...","2024/05/24","戛纳电影节","https://movie.douban.com/subject/36864625/"
"女子监狱 第一季 / Orange Is the New Black Season 1","","","https://movie.douban.com/subject/20506276/"
"撒旦探戈 / Sátántangó","1994/02/08","匈牙利电影节","https://movie.douban.com/subject/1422088/"
"古尔德的时光之旅 / Glenn Gould: Au delà du temps","","","https://movie.douban.com/subject/1889393/"
"佩佩 / Pepe","2024/02/20","柏林电影节","https://movie.douban.com/subject/35318019/"
"男生女相：华语电影之性别 / 男生女相：華語電影之性別","1998/06/05","纽约同性恋电影节","https://movie.douban.com/subject/1369759/"
"可怜的东西 / Poor Things","2023/09/01","威尼斯电影节","https://movie.douban.com/subject/35350109/"
"雪豹","2023/09/06","威尼斯国际电影节","https://movie.douban.com/subject/35811006/"
"神人之家","2022/04/10","瑞士真实影展","https://movie.douban.com/subject/34850591/"
"壁垒 / Rampart","","","https://movie.douban.com/subject/35516744/"
"我的塞林格之年 / My Salinger Year","2020/02/20","柏林电影节","https://movie.douban.com/subject/30220620/"
"超异能族 / 무빙","2023/08/09","韩国","https://movie.douban.com/subject/35206436/"
"阿玛柯德 / Amarcord","1973/12/18","意大利","https://movie.douban.com/subject/1298672/"
"沙丘2 / Dune: Part Two","2024/02/28","法国","https://movie.douban.com/subject/35575567/"
"琳达想吃鸡肉！ / Linda veut du poulet !","2023/05/20","戛纳电影节","https://movie.douban.com/subject/35432330/"
"归途列车","2009/11/22","阿姆斯特丹纪录片电影节","https://movie.douban.com/subject/4102971/"
"奥兰多：我的政治传记 / Orlando, ma biographie politique","2023/02/18","柏林国际电影节","https://movie.douban.com/subject/35633701/"
"沃土","","","https://movie.douban.com/subject/34970333/"
"法医秦明之龙番往事","","","https://movie.douban.com/subject/36640239/"
"卡斯帕尔·豪泽尔之谜 / Jeder für sich und Gott gegen alle","","","https://movie.douban.com/subject/1296583/"
"大路 / La strada","1954/09/06","威尼斯电影节","https://movie.douban.com/subject/1292719/"
"胡丽叶塔 / Julieta","2016/04/08","西班牙","https://movie.douban.com/subject/26296258/"
"哈姆奈特 / Hamnet","2025/08/29","特柳赖德电影节","https://movie.douban.com/subject/35618471/"
"龙与地下城：侠盗荣耀 / Dungeons & Dragons: Honor Among Thieves","2023/03/10","西南偏南电影节","https://movie.douban.com/subject/26584673/"
"不一样的天空 / What's Eating Gilbert Grape","1993/12/17","美国","https://movie.douban.com/subject/1301617/"
"金色茧房 / Bên Trong Vỏ Kén Vàng","2023/05/24","戛纳电影节","https://movie.douban.com/subject/36367140/"
"史蒂夫·乔布斯：遗失的访谈 / Steve Jobs: The Lost Interview","","","https://movie.douban.com/subject/6974319/"
"中国姑娘 / La chinoise","1967/08/30","法国","https://movie.douban.com/subject/1302589/"
"狂野时代","2025/05/22","戛纳电影节","https://movie.douban.com/subject/35416174/"
"狗神 / DogMan","2023/08/31","威尼斯国际电影节","https://movie.douban.com/subject/35736202/"
"电子游戏如何改变世界 / How Video Games Changed the World","","","https://movie.douban.com/subject/25782342/"
"见证者 / The Witness - Noclip Documentary","","","https://movie.douban.com/subject/27015869/"
"神奇的费曼先生 / The Fantastic Mr Feynman","","","https://movie.douban.com/subject/24696708/"
"香农传 / The Bit Player","2018/06/19","美国","https://movie.douban.com/subject/34806185/"
"青铜葵花","2025/06/16","上海国际电影节","https://movie.douban.com/subject/36500314/"
"大开眼戒 / Eyes Wide Shut","1999/07/16","美国","https://movie.douban.com/subject/1300275/"
"太阳高照 / Zvizdan","2015/05/17","戛纳电影节","https://movie.douban.com/subject/26369129/"
"爱丽丝漫游奇境记 / Алиса в стране чудес","","","https://movie.douban.com/subject/3584901/"
"镜子 / Зеркало","1975/03/07","苏联","https://movie.douban.com/subject/1299248/"
"童年过后一百天 / Сто дней после детства","1975/12/01","苏联","https://movie.douban.com/subject/1301025/"
"黑猫白猫 / Црна мачка, бели мачор","1998/06/01","南斯拉夫联邦共和国","https://movie.douban.com/subject/1293236/"
"流浪者之歌 / Дом за вешање","1988/12/21","南斯拉夫","https://movie.douban.com/subject/1303525/"
"乘火车去旅行 / Ekspres, Ekspres","","","https://movie.douban.com/subject/3723814/"
"涉过愤怒的海","2023/11/25","中国大陆","https://movie.douban.com/subject/33456512/"
"乐队男孩 / The Boys in the Band","","","https://movie.douban.com/subject/1293138/"
"复仇狗联盟 / Strays","2023/08/16","冰岛","https://movie.douban.com/subject/35802912/"
"坚如磐石","2023/09/28","中国大陆","https://movie.douban.com/subject/33447633/"
"达达达达达利！ / Daaaaaalí!","2023/09/06","威尼斯电影节","https://movie.douban.com/subject/36151170/"
"资产阶级的审慎魅力 / Le Charme discret de la bourgeoisie","","","https://movie.douban.com/subject/1303364/"
"诗 / 시","2010/05/13","韩国","https://movie.douban.com/subject/3212965/"
"入殓师 / おくりびと","2008/08/23","蒙特利尔电影节","https://movie.douban.com/subject/2149806/"
"钢的琴","2010/09/11","多伦多电影节","https://movie.douban.com/subject/4876722/"
"邪恶不存在 / 悪は存在しない","2023/09/04","威尼斯电影节","https://movie.douban.com/subject/36490368/"
"旺达 / Wanda","1970/08/21","威尼斯电影节","https://movie.douban.com/subject/1855338/"
"雪花秘扇 / Snow Flower and the Secret Fan","2011/06/24","中国大陆","https://movie.douban.com/subject/4135434/"
"梦之安魂曲 / Requiem for a Dream","2000/05/14","戛纳电影节","https://movie.douban.com/subject/1292270/"
"戏梦人生 / 戲夢人生","1993/05/24","戛纳电影节","https://movie.douban.com/subject/1302941/"
